,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Closing Rank,Closing Rank 2024,Closing Rank 2023,Closing Rank 2022,Closing Rank 2021,Closing Rank 2020,State,mean_rank,median_rank,std_dev,min_rank,max_rank,lower_limit,upper_limit
127,144,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4597,4709.0,4500.0,4889.0,3910.0,3589.0,Maharashtra,4365.666666666667,4548.5,504.8087426606899,3589.0,4889.0,4043.69125733931,5053.30874266069
128,146,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,946,1002.0,1115.0,851.0,880.0,843.0,Maharashtra,939.5,913.0,105.29339960320401,843.0,1115.0,807.706600396796,1018.293399603204
129,147,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1778,1986.0,1796.0,1817.0,1557.0,1602.0,Maharashtra,1756.0,1787.0,156.21907694004597,1557.0,1986.0,1630.7809230599541,1943.2190769400459
130,148,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,290,331.0,335.0,257.0,149.0,156.0,Maharashtra,253.0,273.5,82.96746350226697,149.0,335.0,190.53253649773302,356.467463502267
131,149,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),522,623.0,770.0,612.0,617.0,244.0,Maharashtra,564.6666666666666,614.5,176.17680513241993,244.0,770.0,438.32319486758007,790.67680513242
132,150,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,66,68.0,67.0,61.0,67.0,66.0,Maharashtra,65.83333333333333,66.5,2.48327740429189,61.0,68.0,64.0167225957081,68.9832774042919
133,151,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),369,421.0,291.0,305.0,361.0,248.0,Maharashtra,332.5,333.0,62.60271559605062,248.0,421.0,270.39728440394936,395.60271559605064
134,152,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,4,3.0,5.0,5.0,8.0,2.0,Maharashtra,4.5,4.5,2.073644135332772,2.0,8.0,2.426355864667228,6.573644135332772
135,153,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),12,7.0,35.0,,,5.0,Maharashtra,14.75,9.5,13.81725973797506,5.0,35.0,-4.317259737975061,23.31725973797506
136,154,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,20,23.0,20.0,18.0,19.0,18.0,Maharashtra,19.666666666666668,19.5,1.8618986725025257,18.0,23.0,17.638101327497473,21.361898672502527
137,155,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),53,79.0,74.0,57.0,62.0,167.0,Maharashtra,82.0,68.0,42.81121348431974,53.0,167.0,25.188786515680263,110.81121348431974
138,156,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,3,3.0,2.0,2.0,4.0,4.0,Maharashtra,3.0,3.0,0.8944271909999159,2.0,4.0,2.1055728090000843,3.8944271909999157
